# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.167466700533334,0.3490871849416669,-0.007031019991684333,0,1.0,-0.06010032357606404,90.0,0.0,0.0
 0.09016800972940447,2.171531835492007,0.34908668609086935,-0.007031019991684333,0.09016800972940446,0.9999999999999999,-0.06010032357606404,90.0,-0.37485237092584717,0.0
 0.1275038207069173,2.175595312376533,0.34908519487377937,-0.021026437257044284,0.12750382070691726,0.9999999999999997,-0.05969434045029663,90.0,-0.48517538146028744,0.0
 0.1561429467582794,2.179657009385856,0.349082719293351,-0.03492143616370314,0.15614294675827936,1.0,-0.0592945909981501,90.0,-0.5716005015998071,0.0
 0.1802781557027304,2.183716804718917,0.3490792673525381,-0.04871713370256749,0.18027815570273037,1.0,-0.05890097473799311,90.0,-0.644425263933636,0.0
 0.2015335256235951,2.18777457657466,0.34907484705429465,-0.0624146310738278,0.20153352562359506,0.9999999999999987,-0.058513405892014855,90.0,-0.708041460756947,0.0
 0.22074198115353902,2.191830203152027,0.34906946640157466,-0.07601501398613414,0.22074198115353896,1.0,-0.05813178707583348,90.0,-0.7648443798323562,0.0
 0.23839830354722347,2.195883562649962,0.34906313339733214,-0.08951935293745186,0.2383983035472234,1.0,-0.05775603404544397,90.0,-0.8163218345159262,8.651150507431616e-13
 0.2548248524819512,2.199934533267406,0.349055856044521,-0.10292870349861444,0.25482485248195114,1.0,-0.057386057987462734,90.00000000000001,-0.8634776434050033,-9.215459166505836e-13
 0.2702455216623348,2.203982993203303,0.3490476423460952,-0.11624410658222023,0.27024552166233473,1.0,-0.05702177445752786,90.0,-0.9070294083551793,0.0
 0.2848233093387242,2.208028820656595,0.34903850030500877,-0.12946658871346312,0.28482330933872413,1.0,-0.05666310166476972,90.0,-0.9475126341958631,0.0
 0.29868124970457777,2.212071893826225,0.3490284379242157,-0.14259716229404223,0.29868124970457777,1.000000000000004,-0.05630995493696875,90.0,-0.9853404416523374,0.0
 0.31191491292718987,2.2161120909111354,0.3490174632066698,-0.15563682585848915,0.31191491292718987,1.0,-0.05596225784706957,90.0,-1.0208401021306042,0.0
 0.3246002869029534,2.2201492901102697,0.34900558415532523,-0.1685865643234725,0.3246002869029534,1.0,-0.055619933028069744,90.0,-1.054276557847369,1.1649499692631266e-12
 0.3367989693272217,2.2241833696225695,0.3489928087731359,-0.18144734924000328,0.3367989693272217,1.0,-0.05528290591753046,90.00000000000001,-1.085868197411954,-1.2081241016412379e-12
 0.3485617134823102,2.228214207646978,0.3489791450630557,-0.1942201390323072,0.3485617134823102,1.0,-0.054951100974027986,90.0,-1.1157978042689707,0.0
 0.35993092406454746,2.2322416823824387,0.3489646010280387,-0.2069058792362391,0.3599309240645475,1.0000000000000049,-0.054624445487958355,90.0,-1.14422037466869,0.0
 0.3709424597568326,2.2362656720278933,0.34894918467103886,-0.21950550273174327,0.37094245975683265,1.0,-0.05430287162734051,90.0,-1.171268838702116,0.0
 0.38162696430953424,2.2402860547822847,0.3489329039950101,-0.2320199299712936,0.3816269643095343,1.0,-0.05398631066734404,90.0,-1.1970583359706477,-1.3685463840403989e-12
 0.39201086863380485,2.2443027088445557,0.34891576700290644,-0.2444500692025834,0.3920108686338049,1.0,-0.05367469091474546,89.99999999999999,-1.2216894712089108,1.4061396815811353e-12
 0.4021171581449739,2.248315512413649,0.3488977816976818,-0.25679681669136767,0.402117158144974,1.0000000000000056,-0.053367953662453824,90.0,-1.2452508322398905,0.0
 0.41196596926151985,2.252324343688507,0.34887895608229025,-0.26906105693082,0.41196596926151996,1.0,-0.05306603136185216,90.0,-1.2678209686298534,0.0
 0.42157505936943024,2.256329080868074,0.34885929815968564,-0.2812436628590825,0.42157505936943035,1.0,-0.05276885950007636,90.0,-1.2894699630723063,0.0
 0.43096018158853344,2.26032960215129,0.348838815932822,-0.2933454960603786,0.43096018158853355,1.0,-0.05247638083718434,90.0,-1.3102606977851747,1.5488323404525224e-12
 0.4401353868990385,2.2643257857371,0.34881751740465333,-0.3053674069728432,0.44013538689903864,1.0,-0.05218853317329253,90.00000000000001,-1.3302498826563063,-1.5828736408728285e-12
 0.4491132701287863,2.2683175098244464,0.34879541057813357,-0.3173102350857172,0.44911327012878643,1.0,-0.05190526172572995,90.0,-1.3494889001191337,-1.6163572850735511e-12
 0.45790517204702796,2.2723046526122705,0.3487725034562167,-0.32917480913532043,0.4579051720470281,1.0,-0.051626506683263546,89.99999999999999,-1.3680245046867627,0.0
 0.46652134677351587,2.2762870922995164,0.3487488040418566,-0.34096194729781865,0.466521346773516,1.0,-0.05135221580652937,89.99999999999999,-1.3858994064325199,3.363613537920008e-12
 0.4749711015119807,2.2802647070851263,0.3487243203380074,-0.35267245737435743,0.4749711015119808,1.0,-0.05108233176401896,90.00000000000001,-1.4031527632924439,-1.7138417845124425e-12
 0.48326291400227117,2.284237375168043,0.348699060347623,-0.3643071369828113,0.4832629140022713,1.0,-0.050816804961768956,90.0,-1.4198205958071055,0.0
 0.4914045318852107,2.288204974747209,0.3486730320736573,-0.3758667737362003,0.4914045318852109,1.0000000000000069,-0.05055558065535841,90.0,-1.4359361412749052,0.0
 0.49940305727201495,2.292167384021567,0.34864624351906437,-0.38735214541601737,0.4994030572720151,1.0,-0.05029861423699029,90.0,-1.451530159417985,0.0
